        x1        x2        x3        x4        x5        x6    Output    Target
    0.4321    0.4772    0.4372    0.3463    0.4957    0.1014    0.9481         1
     0.571    0.4001    0.5161    0.5195    0.5843    0.2027    0.9484         1
    0.3082    0.3821    0.5875    0.2767    0.4679    0.1427    0.9487         1
    0.6561    0.3918    0.4806    0.6055    0.4819    0.1497     0.949         1
    0.3026    0.7181    0.3303   0.09724    0.7625     0.372    0.9493         1
      0.68    0.4647     0.682    0.5907    0.5441    0.1749    0.9496         1
    0.4685      0.47    0.6151    0.3849    0.4224    0.1033    0.9499         1
    0.4968    0.5178     0.715    0.3873    0.5697    0.1682    0.9501         1
    0.3122    0.3658    0.2458     0.289    0.4886   0.09648    0.9504         1
    0.5636    0.6594    0.4607    0.3781    0.4079   0.08421    0.9507         1
    0.5188    0.4524    0.4413    0.4423    0.4808    0.1154     0.951         1
    0.4268    0.3577    0.4224    0.4031    0.3469   0.08519    0.9512         1
    0.2279    0.2326     0.349    0.2771    0.4386   0.08472    0.9515         1
    0.4944    0.6421    0.4406    0.3206    0.5202    0.2435    0.9518         1
    0.3748    0.6101    0.3306    0.2224       0.5   0.04207     0.952         1
    0.3748    0.2928    0.3914    0.3869    0.2652    0.1414    0.9523         1
    0.5042    0.7141    0.5573    0.2927    0.7363    0.2053    0.9525         1
    0.3571    0.2302    0.4385    0.4023    0.4362    0.1249    0.9527         1
    0.4096    0.3865    0.4386    0.3717    0.5737    0.1177     0.953         1
    0.3641    0.3619    0.4307    0.3408    0.4737    0.1222    0.9532         1
    0.5676     0.646    0.6206    0.3889    0.6112    0.1918    0.9535         1
    0.4206    0.4614    0.3087    0.3434     0.284    0.1449    0.9537         1
    0.5289    0.7751    0.6529    0.2848    0.7636    0.2256    0.9539         1
         1    0.2672    0.3077         1    0.4044         1    0.9541         1
    0.4276    0.3402    0.4333     0.413    0.4743    0.1582    0.9543         1
    0.5776    0.8092    0.3031    0.3139    0.5593      0.17    0.9546         1
    0.3799    0.5486    0.2844    0.2592    0.7136   0.06386    0.9548         1
    0.3338    0.3985    0.2613    0.2927    0.4621   0.09951     0.955         1
    0.2758    0.3331    0.2416     0.271    0.5115    0.1197    0.9552         1
    0.5568    0.5293    0.6546     0.439    0.5868    0.2133    0.9554         1
    0.5201    0.9757    0.3437    0.1725    0.4369    0.1834    0.9556         1
    0.3811    0.3054    0.3802    0.3864    0.4203    0.1513    0.9558         1
    0.4684    0.3729    0.1656    0.4352     0.399    0.1119     0.956         1
    0.2113    0.2187    0.3853    0.2684    0.2727    0.1022    0.9562         1
    0.4295    0.5048    0.4043    0.3295    0.3541   0.09048    0.9564         1
    0.5236    0.4207    0.4702    0.4633    0.4985    0.1602    0.9566         1
    0.6208    0.6221    0.4995    0.4523    0.3313    0.1627    0.9568         1
    0.4927     0.416    0.3202    0.4362    0.4367    0.1184    0.9569         1
    0.2307      0.28    0.1626    0.2552    0.3186   0.08805    0.9571         1
    0.4208    0.3632    0.3938    0.3946    0.5253   0.06744    0.9573         1
    0.4193    0.4944    0.3469    0.3252    0.5024    0.1533    0.9575         1
    0.5363    0.4765    0.5062    0.4466    0.5306    0.1549    0.9577         1
    0.2513    0.4245    0.5736    0.2001    0.7193    0.1536    0.9578         1
    0.4916    0.6592    0.5681    0.3091    0.4358    0.2168     0.958         1
    0.5968    0.8288    0.6065    0.3222    0.5003    0.1579    0.9582         1
    0.5521    0.7299    0.5765    0.3305    0.4343    0.1414    0.9583         1
    0.4427    0.5583    0.5895    0.3145    0.3989    0.1571    0.9585         1
    0.5685    0.4934    0.6957    0.4688    0.4192    0.1143    0.9587         1
    0.4187    0.3922    0.5409    0.3775    0.3762   0.09488    0.9588         1
     0.611    0.9906    0.5191     0.252    0.6942    0.3012     0.959         1
    0.5704    0.4436    0.7763    0.4964    0.4364    0.1628    0.9592         1
    0.3325     0.485    0.4522    0.2467     0.507    0.2698    0.9593         1
    0.3269    0.3727    0.3941    0.2995    0.3769   0.09653    0.9595         1
    0.5738    0.8796    0.5795    0.2738    0.3771    0.1256    0.9596         1
    0.5732    0.6611    0.5748    0.3864    0.4816    0.1849    0.9598         1
     0.279   0.04992    0.3759    0.4208    0.4284    0.0997    0.9599         1
     0.382    0.2927    0.3295    0.3938     0.369    0.1172    0.9601         1
    0.5121    0.5448    0.2398    0.3881    0.3069    0.1112    0.9602         1
    0.5301    0.4866    0.4178    0.4354    0.2574      0.12    0.9604         1
     0.211     0.188    0.3968     0.284    0.5944    0.1072    0.9605         1
    0.3593    0.3692    0.3055    0.3324    0.4499   0.09973    0.9606         1
    0.3003    0.3877    0.4475    0.2662    0.5017   0.09637    0.9608         1
    0.1451    0.2206    0.2583    0.2038    0.3577   0.09013    0.9609         1
    0.3921     0.377    0.5198    0.3598    0.1331    0.1228    0.9611         1
    0.5143    0.5946     0.507    0.3644    0.5216    0.1694    0.9612         1
    0.1743     0.144    0.2874    0.2715    0.4145    0.1254    0.9613         1
    0.2979    0.1233     0.315    0.4009    0.3545    0.1472    0.9615         1
    0.3677    0.3405    0.4895    0.3553    0.2707    0.1175    0.9616         1
    0.6354    0.7492    0.5675    0.4004    0.4908    0.1609    0.9617         1
    0.3965    0.2456    0.3374    0.4322    0.2981    0.1238    0.9619         1
    0.8873    0.8038    0.3297    0.6138    0.1177    0.1981     0.962         1
    0.8658    0.7872     0.562    0.6019    0.3723    0.2148    0.9621         1
    0.2681    0.2833    0.2604    0.2894    0.5841   0.08413    0.9622         1
    0.5551    0.4791    0.5648    0.4633    0.5957     0.187    0.9624         1
    0.2975    0.2399    0.3849    0.3401     0.429    0.1114    0.9625         1
    0.6677    0.5604    0.7263    0.5293    0.2067      0.16    0.9626         1
    0.1746    0.1367    0.2148    0.2756    0.3032    0.0814    0.9627         1
    0.3729    0.3881    0.4013    0.3356    0.4473   0.07557    0.9628         1
     0.504    0.3679    0.5879    0.4719    0.3726   0.05459     0.963         1
    0.2944    0.3575    0.2664    0.2762    0.2539   0.07487    0.9631         1
     0.238     0.279    0.3785    0.2627   0.09589   0.07938    0.9632         1
    0.3401    0.5705    0.2246    0.2097    0.3583   0.07659    0.9633         1
    0.2933    0.2771    0.3452    0.3168    0.3086    0.1438    0.9634         1
    0.3943    0.3543    0.4667    0.3737    0.3294    0.1049    0.9635         1
    0.5273    0.4607    0.4264    0.4461    0.2085    0.1286    0.9637         1
    0.5257    0.5876    0.4197    0.3789    0.5379    0.1479    0.9638         1
    0.4106         1    0.4838   0.05481    0.5908     0.153    0.9639         1
    0.1134    0.1971   0.09585    0.1856    0.9438     0.104     0.964         1
    0.3711     0.389      0.48    0.3334    0.2174   0.09866    0.9641         1
    0.4754    0.6804    0.6766    0.2825    0.3952    0.1537    0.9642         1
    0.4326    0.7872    0.6312    0.1862    0.5923    0.1835    0.9643         1
    0.5296    0.4886    0.6961    0.4339    0.5952    0.1146    0.9644         1
      0.63    0.5548     0.632    0.4959    0.5079    0.1482    0.9645         1
    0.5298    0.4967    0.5796    0.4299     0.215    0.1402    0.9646         1
    0.3305    0.2111      0.41    0.3867    0.4189   0.09619    0.9647         1
    0.5742    0.8074    0.6146    0.3115    0.5459      0.17    0.9648         1
    0.5426      0.64    0.5643     0.368     0.505    0.1718    0.9649         1
    0.1695    0.2923    0.3401    0.1901    0.1974    0.1209     0.965         1
    0.5818     0.837    0.4219    0.3035    0.2938    0.1555    0.9651         1
     0.466    0.7116    0.4738    0.2574    0.8214    0.3167    0.9652         1
    0.4253    0.3018    0.5582    0.4307    0.5286    0.1018    0.9653         1
    0.4484    0.4552    0.4833    0.3734    0.5042   0.08483    0.9654         1
    0.4349    0.2112    0.6443    0.4868    0.4368    0.1148    0.9655         1
    0.3629    0.3451    0.4596    0.3483    0.2123    0.1561    0.9656         1
    0.3152    0.7883         1   0.07295    0.7049    0.2988    0.9657         1
    0.4698    0.3655    0.4358    0.4403    0.4853     0.103    0.9658         1
     0.474    0.4149    0.4233    0.4188    0.5248   0.09924    0.9659         1
    0.3589    0.4747    0.4788    0.2774    0.6551    0.1132     0.966         1
    0.3989    0.7114    0.7364    0.1931    0.8121    0.2313    0.9661         1
    0.4838    0.8661    0.7095    0.1945    0.6687    0.2614    0.9662         1
     0.458    0.2905    0.4385    0.4679    0.3081   0.08853    0.9663         1
    0.2931    0.3739    0.2773    0.2664    0.3403   0.08573    0.9663         1
    0.5205    0.7233    0.6363    0.3035     0.597    0.2592    0.9664         1
    0.6687    0.9485    0.4027    0.3291    0.2861    0.2056    0.9665         1
    0.4624    0.4533    0.5551    0.3878    0.6272    0.1966    0.9666         1
    0.5934    0.4808    0.7143    0.4992     0.547    0.2043    0.9667         1
    0.2133    0.4103    0.1998     0.171    0.2667   0.09172    0.9668         1
    0.1192    0.4201    0.1889   0.07564    0.6189   0.04433    0.9669       0.5
    0.2775    0.4559    0.3365     0.209    0.5997    0.0304    0.9657       0.5
    0.1757    0.2769    0.2944     0.204     0.636   0.03737    0.9644       0.5
    0.2138    0.4288    0.3043    0.1619    0.6334   0.02362     0.963       0.5
    0.1886    0.3075    0.2557    0.2006    0.6463   0.01785    0.9615       0.5
   0.04431    0.3556     0.196    0.0372    0.7778   0.02107    0.9598       0.5
    0.2388    0.2363    0.1512    0.2857    0.5169   0.02328    0.9581       0.5
    0.1155    0.2342    0.3262    0.1684    0.6671   0.04049    0.9562       0.5
    0.2457    0.4023    0.1879    0.2063    0.6377   0.02809    0.9542       0.5
    0.3681    0.5873    0.3308    0.2278    0.3882     0.033    0.9519       0.5
    0.1769    0.5062    0.1564   0.08639    0.4699   0.02508    0.9495       0.5
    0.2778    0.2218     0.349    0.3305    0.6118   0.02427    0.9469       0.5
    0.2889    0.3512    0.4353    0.2742    0.4963    0.0983     0.944       0.5
    0.4171    0.4546    0.5545    0.3436    0.3603   0.02471    0.9408       0.5
    0.6142    0.5214    0.6852    0.4981    0.3271   0.03282    0.9373       0.5
    0.3238    0.2551      0.37    0.3575    0.5925   0.03327    0.9334       0.5
    0.3647     0.404    0.4396    0.3196    0.7773    0.0404    0.9291       0.5
    0.3413    0.4685    0.3481    0.2637    0.5227   0.03695    0.9243       0.5
    0.1148    0.2654    0.1095    0.1516    0.5777   0.03479    0.9189       0.5
    0.1667    0.2974    0.1972    0.1848    0.7244   0.01849    0.9129       0.5
    0.3806    0.5304    0.4348    0.2694    0.5812   0.01624    0.9062       0.5
    0.2678    0.3482    0.2237    0.2555    0.5174   0.03755    0.8985       0.5
    0.1637    0.3638    0.2358    0.1475    0.6284     0.028      0.89       0.5
    0.1402    0.2805    0.1523    0.1681    0.7424   0.01989    0.8803       0.5
    0.1117    0.2847    0.2506    0.1386    0.7061   0.05759    0.8693       0.5
    0.3441    0.3599    0.4475    0.3226     0.556   0.02876    0.8569       0.5
    0.3471    0.3664    0.3938    0.3222    0.6796   0.03727    0.8429       0.5
    0.4133    0.3545     0.372    0.3919    0.6079   0.05095    0.8273       0.5
    0.2922    0.4644    0.2647    0.2187    0.7432   0.02141      0.81       0.5
    0.1495    0.2749    0.1972    0.1799    0.4998   0.01165    0.7909       0.5
    0.2448    0.3585    0.1879    0.2281    0.6091   0.05816    0.7704       0.5
    0.1248     0.216    0.1157    0.1868    0.6614   0.02397    0.7485       0.5
     0.082    0.2513    0.2595    0.1274    0.5797   0.01624    0.7259       0.5
    0.3557    0.6053    0.3365    0.2066    0.4777   0.04306     0.703       0.5
    0.2089     0.308     0.358    0.2198    0.5948    0.0248    0.6804       0.5
    0.1976    0.4002    0.2327    0.1612    0.5301   0.04684    0.6587       0.5
    0.2284     0.416    0.1253    0.1825    0.5523   0.03019    0.6384       0.5
    0.2042    0.2702    0.1929    0.2349     0.543   0.02954    0.6197       0.5
    0.2373    0.4785    0.2058    0.1587     0.562   0.03107     0.603       0.5
   0.09654    0.1026    0.1756    0.2184    0.7082   0.02087    0.5881       0.5
    0.1408    0.1499    0.3222    0.2364    0.7438    0.0273    0.5751       0.5
    0.1617   0.01266    0.3938    0.3276    0.5541   0.01791    0.5639       0.5
    0.3631    0.4983    0.4654    0.2691     0.532   0.05456    0.5542       0.5
    0.4514    0.4668    0.4207    0.3703    0.4425   0.02763    0.5459       0.5
    0.3992    0.3788    0.3938    0.3657    0.5759   0.08619    0.5389       0.5
    0.2759    0.2913    0.3043    0.2927    0.5695   0.04491    0.5329       0.5
    0.2316   0.06403    0.2506     0.368    0.6637  0.006443    0.5278       0.5
     0.137    0.2992    0.2145    0.1554     0.623   0.02681    0.5234       0.5
    0.3614    0.4196    0.3163    0.3083    0.5055   0.02491    0.5198       0.5
      0.27    0.3303    0.2595    0.2669    0.5606    0.0261    0.5167       0.5
    0.4709    0.3836    0.3556     0.432    0.3824   0.02945    0.5141       0.5
    0.1579    0.3738    0.1013    0.1367    0.6326    0.0275    0.5119       0.5
   0.07369    0.1827    0.1029     0.155    0.6263   0.02161      0.51       0.5
    0.2735    0.2389    0.2953    0.3176    0.4485   0.01548    0.5085       0.5
    0.2124    0.2884    0.2301    0.2333    0.7048   0.03822    0.5072       0.5
    0.1951    0.2996    0.2568    0.2109    0.5502   0.02448     0.506       0.5
    0.2576    0.2852    0.2952    0.2784    0.5701   0.03006    0.5051       0.5
     0.299    0.4116    0.2581    0.2525    0.4702   0.03741    0.5043       0.5
     0.106    0.4115   0.08949   0.06748    0.5907   0.04289    0.5036       0.5
    0.2427    0.2756    0.3848     0.269    0.6064   0.02075    0.5031       0.5
    0.1579    0.4125    0.2506    0.1167    0.5436   0.04408    0.5026       0.5
    0.1274    0.2423    0.2058    0.1756    0.5134   0.03017    0.5022       0.5
   0.09384    0.1369    0.2636     0.198    0.6113   0.02194    0.5018       0.5
    0.1644    0.2953    0.1337    0.1837    0.5741   0.02979    0.5016       0.5
    0.3968    0.4157    0.3311    0.3443     0.726   0.03729    0.5013       0.5
    0.2428    0.3606    0.1723    0.2251    0.6584    0.0299    0.5011       0.5
     0.382     0.353    0.2685    0.3626    0.6378   0.02113    0.5009       0.5
    0.1376   0.09334     0.152    0.2626    0.5297   0.01137    0.5008       0.5
    0.2185    0.4389    0.3401    0.1612    0.7428   0.05005    0.5007       0.5
    0.2309     0.357    0.1831    0.2155    0.5275   0.03293    0.5006       0.5
    0.3676     0.376    0.2676    0.3368    0.4872   0.03959    0.5005       0.5
    0.2656    0.3573    0.2469    0.2486    0.4714   0.03211    0.5004       0.5
    0.2204    0.3513    0.3389    0.2084    0.6056   0.02699    0.5003       0.5
    0.3185    0.3772    0.2613    0.2891     0.548   0.03233    0.5003       0.5
    0.4018    0.4127    0.2618    0.3506    0.5334   0.03707    0.5002       0.5
    0.3432    0.4228    0.2944    0.2892    0.5467   0.03293    0.5002       0.5
   0.06649    0.1113   0.04538    0.1851     0.541   0.04752    0.5002       0.5
     0.467    0.3979    0.3993    0.4208      0.38   0.02714    0.5001       0.5
    0.1763    0.3703    0.1633    0.1563    0.6628   0.01735    0.5001       0.5
   0.09909     0.365   0.05587   0.08491    0.6022   0.02616    0.5001       0.5
    0.2405    0.3709    0.1964    0.2175    0.4917   0.04181    0.5001       0.5
   0.08303    0.1641    0.1388    0.1736    0.6136   0.02467    0.5001       0.5
    0.2195    0.2169    0.3714    0.2771    0.7208   0.07196    0.5001       0.5
    0.1937    0.2968    0.2058    0.2111    0.6235   0.01387    0.5001       0.5
    0.1956    0.2353    0.3052    0.2447    0.6481   0.03144       0.5       0.5
    0.1303    0.4066    0.2029   0.09329     0.665   0.01417       0.5       0.5
    0.1874    0.4521     0.177    0.1245    0.5024   0.03303       0.5       0.5
    0.3892    0.4903    0.1586    0.2984    0.6326   0.02927       0.5       0.5
    0.5474     0.651     0.396    0.3669    0.4369   0.03989       0.5       0.5
    0.2366    0.2325    0.1879    0.2855    0.5001   0.02524       0.5       0.5
    0.6063    0.5828    0.4924    0.4587    0.4452   0.03985       0.5       0.5
    0.2744    0.5009    0.1375    0.1827     0.519   0.02232       0.5       0.5
   0.07942    0.1539    0.1646    0.1754    0.6261   0.01791       0.5       0.5
    0.1825    0.3369    0.2737    0.1795    0.8368  0.004927       0.5       0.5
    0.2098    0.3603    0.1969    0.1936    0.5094   0.01586       0.5       0.5
     0.268    0.4872    0.1362    0.1837    0.4762   0.02476       0.5       0.5
    0.3404    0.5224    0.2879    0.2349    0.5978   0.01944       0.5       0.5
    0.1843    0.2724    0.2468    0.2146    0.5212   0.02624       0.5       0.5
    0.0742    0.2077    0.2026    0.1425    0.5792   0.02528       0.5       0.5
